Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CALCIUM SIGNALING PATHWAY	9/250	1.2838020750671875E-7	1.4046305056617463E-6	0	0	12.902162044114435	204.73498579974643	HTR6;HTR7;HTR2C;ADRA1D;HTR2A;ADRB2;ADRA1B;ADRA1A;GRIN2B
TASTE TRANSDUCTION	5/86	9.503444871632622E-6	9.82022636735371E-5	0	0	20.090062740335963	232.31859671927992	HTR1E;HTR1F;HTR1D;HTR1A;HTR1B
DOPAMINERGIC SYNAPSE	5/131	7.24500050594143E-5	7.092474179500557E-4	0	0	12.885766328389279	122.8350341751041	AKT1;COMT;DRD2;DRD3;GRIN2B
ADRENERGIC SIGNALING IN CARDIOMYOCYTES	5/148	1.2887699128452925E-4	0.001158026509943743	0	0	11.344147655623065	101.605584653692	AKT1;ADRA1D;ADRB2;ADRA1B;ADRA1A
LINOLEIC ACID METABOLISM	3/30	1.307449285420355E-4	0.001158026509943743	0	0	35.10934744268078	313.9569920205279	CYP2E1;CYP2C19;CYP3A4
NON-ALCOHOLIC FATTY LIVER DISEASE	5/154	1.5525195421324715E-4	0.0013125847038029078	0	0	10.884035647485971	95.45801288668322	FASN;LEP;AKT1;CYP2E1;TNF
GAP JUNCTION	4/85	1.7914616946872037E-4	0.0014487472835296518	0	0	15.812823576264437	136.42210718747486	TJP1;HTR2C;HTR2A;DRD2
CGMP-PKG SIGNALING PATHWAY	5/161	1.9103584550022044E-4	0.0014805278026267085	0	0	10.39197141656158	88.98696538020415	AKT1;ADRA1D;ADRB2;ADRA1B;ADRA1A
SALIVARY SECRETION	4/89	2.1390311941989608E-4	0.001591439208484027	0	0	15.065654648956357	127.30459133028937	ADRA1D;ADRB2;ADRA1B;ADRA1A
HERPES SIMPLEX VIRUS 1 INFECTION	5/181	3.284199037880856E-4	0.00234946546556092	0	0	9.201751117734725	73.80924777580914	FASN;AKT1;CCL2;EIF2AK4;TNF
CHAGAS DISEASE	4/103	3.741771979626662E-4	0.0025776651415205893	0	0	12.926034538937765	101.99650879749453	FASN;AKT1;CCL2;TNF
COCAINE ADDICTION	3/48	5.338693285605556E-4	0.0035464176825808335	0	0	21.046560846560848	158.5934012076228	GRM3;DRD2;GRIN2B
TNF SIGNALING PATHWAY	4/118	6.258611006673748E-4	0.004014143611176956	0	0	11.21675155631013	82.7390453485384	FASN;AKT1;CCL2;TNF
AMPK SIGNALING PATHWAY	4/121	6.877633022429073E-4	0.00422454395962955	0	0	10.927488282326992	79.57468888271912	FASN;LEP;AKT1;ADRA1A
LIPID AND ATHEROSCLEROSIS	5/214	7.040906599382584E-4	0.00422454395962955	0	0	7.735900854969017	56.15183649375745	FASN;CYP1A1;AKT1;CCL2;TNF
ALCOHOLIC LIVER DISEASE	4/140	0.0011843126957505662	0.006883817544050166	0	0	9.391840607210627	63.28778833224006	FASN;AKT1;CYP2E1;TNF
ADIPOCYTOKINE SIGNALING PATHWAY	3/70	0.0016045253863799745	0.009043688541414402	0	0	14.120113717128643	90.86190489223837	LEP;AKT1;TNF
HEPATITIS C	4/158	0.001847194243570168	0.010105239097177978	0	0	8.2865521575199	52.15628365857209	FASN;AKT1;EIF2AK4;TNF
INFLUENZA A	4/171	0.002461909996847851	0.013083293126105722	0	0	7.636468997488893	45.87087797057406	FASN;AKT1;CCL2;TNF
CYTOKINE-CYTOKINE RECEPTOR INTERACTION	5/296	0.002936899374537388	0.015173980101776504	0	0	5.532927722381838	32.25918670947178	FASN;LEP;CCL2;TNFRSF11A;TNF
RHEUMATOID ARTHRITIS	3/92	0.0034960366829955548	0.017574670892896573	0	0	10.617977528089888	60.05661163297088	CCL2;TNFRSF11A;TNF
AGE-RAGE SIGNALING PATHWAY IN DIABETIC COMPLICATIONS	3/100	0.004418151436739624	0.021625688611409736	0	0	9.738340697103583	52.80161336369526	AKT1;CCL2;TNF
GLUTAMATERGIC SYNAPSE	3/112	0.006055380313525567	0.028674588785318565	0	0	8.660987330712102	44.230000203540285	GRM3;GRM7;GRIN2B
CHEMICAL CARCINOGENESIS - REACTIVE OXYGEN SPECIES	4/222	0.0062225641921187305	0.028674588785318565	0	0	5.834862385321101	29.638610642777145	CYP1A1;AKT1;CYP1B1;CYP2E1
HUMAN CYTOMEGALOVIRUS INFECTION	4/223	0.006320742689236889	0.028674588785318565	0	0	5.807924583885698	29.4108571163732	FASN;AKT1;CCL2;TNF
ALLOGRAFT REJECTION	2/37	0.006630561679194175	0.028681034240235267	0	0	17.766964285714284	89.12026122240691	FASN;TNF
AFRICAN TRYPANOSOMIASIS	2/37	0.006630561679194175	0.028681034240235267	0	0	17.766964285714284	89.12026122240691	FASN;TNF
RAS SIGNALING PATHWAY	4/231	0.007143521456778567	0.029582286703178643	0	0	5.600966320875373	27.67745189107958	HTR7;NTF3;AKT1;GRIN2B
NEUROTROPHIN SIGNALING PATHWAY	3/119	0.007157004847543219	0.029582286703178643	0	0	8.135467980295566	40.18647588846017	NTF3;AKT1;SH2B1
GRAFT-VERSUS-HOST DISEASE	2/42	0.008481678262813926	0.032866503268403964	0	0	15.5421875	74.13385549413645	FASN;TNF
TYPE I DIABETES MELLITUS	2/42	0.008481678262813926	0.032866503268403964	0	0	15.5421875	74.13385549413645	FASN;TNF
TRYPTOPHAN METABOLISM	2/42	0.008481678262813926	0.032866503268403964	0	0	15.5421875	74.13385549413645	CYP1A1;CYP1B1
VASCULAR SMOOTH MUSCLE CONTRACTION	3/131	0.009306356903507427	0.03532617110310983	0	0	7.368303571428571	34.4619800286176	ADRA1D;ADRA1B;ADRA1A
OSTEOCLAST DIFFERENTIATION	3/134	0.009896314183049777	0.03681428876094517	0	0	7.198473282442748	33.22522214381662	AKT1;TNFRSF11A;TNF
APOPTOSIS	3/136	0.010301483341107769	0.03691133610484433	0	0	7.089509488005729	32.43781940551811	FASN;AKT1;TNF
YERSINIA INFECTION	3/138	0.01071619435301932	0.03691133610484433	0	0	6.983774250440917	31.67839434838754	AKT1;CCL2;TNF
FLUID SHEAR STRESS AND ATHEROSCLEROSIS	3/138	0.01071619435301932	0.03691133610484433	0	0	6.983774250440917	31.67839434838754	AKT1;CCL2;TNF
MEASLES	3/138	0.01071619435301932	0.03691133610484433	0	0	6.983774250440917	31.67839434838754	FASN;AKT1;EIF2AK4
MALARIA	2/50	0.011865063410712947	0.040125487170774694	0	0	12.946614583333334	57.4073222604629	CCL2;TNF
OVARIAN STEROIDOGENESIS	2/51	0.012323300976411534	0.04093096395736688	0	0	12.681760204081632	55.75235849108612	CYP1A1;CYP1B1
PHOSPHOLIPASE D SIGNALING PATHWAY	3/147	0.012701522125326466	0.04144707219843373	0	0	6.544312169312169	28.5726857750538	GRM3;GRM7;AKT1
NECROPTOSIS	3/158	0.015396104596022812	0.049373714738969704	0	0	6.0764976958525345	25.36111839989875	GRID2;FASN;TNF
REGULATION OF LIPOLYSIS IN ADIPOCYTES	2/58	0.0157425878544849	0.04962917527007104	0	0	11.092633928571429	46.04980116642699	AKT1;ADRB2
HEPATITIS B	3/161	0.01618271528404152	0.05016641738052871	0	0	5.960216998191682	24.578811781829266	FASN;AKT1;TNF
MAPK SIGNALING PATHWAY	4/296	0.01653225664689005	0.05040983174297622	0	0	4.339814405656209	17.803836274599934	FASN;NTF3;AKT1;TNF
ARACHIDONIC ACID METABOLISM	2/63	0.018404794347285078	0.05521438304185523	0	0	10.180840163934427	40.67392337099801	CYP2E1;CYP2C19
FC EPSILON RI SIGNALING PATHWAY	2/68	0.021242881358460763	0.06271707829640796	0	0	9.407196969696969	36.23401509434124	AKT1;TNF
PROLACTIN SIGNALING PATHWAY	2/69	0.021831047379000608	0.06344648144522051	0	0	9.266324626865671	35.438336973132955	AKT1;TNFRSF11A
PROTEOGLYCANS IN CANCER	3/197	0.02737227188700783	0.07814636389580261	0	0	4.845360824742268	17.43469725635435	FASN;AKT1;TNF
PATHOGENIC ESCHERICHIA COLI INFECTION	3/198	0.027729354930768665	0.07814636389580261	0	0	4.82026862026862	17.281934022354477	TJP1;FASN;TNF
EPSTEIN-BARR VIRUS INFECTION	3/203	0.029552186425535643	0.08204039813656164	0	0	4.698571428571428	16.54647761799131	FASN;AKT1;TNF
HUMAN IMMUNODEFICIENCY VIRUS 1 INFECTION	3/210	0.03220865322533526	0.08682332608568635	0	0	4.5380722337244075	15.590638505036305	FASN;AKT1;TNF
RAP1 SIGNALING PATHWAY	3/210	0.03220865322533526	0.08682332608568635	0	0	4.5380722337244075	15.590638505036305	AKT1;DRD2;GRIN2B
ALZHEIMER DISEASE	4/379	0.036507370413697955	0.097005298527826	0	0	3.364989247311828	11.138925739935477	FASN;AKT1;TNF;GRIN2B
IL-17 SIGNALING PATHWAY	2/93	0.037856373381605316	0.09917303449265619	0	0	6.814217032967033	22.309446249943033	CCL2;TNF
INFLAMMATORY MEDIATOR REGULATION OF TRP CHANNELS	2/97	0.0408584986100223	0.10555112140922428	0	0	6.525986842105263	20.867759404628664	HTR2C;HTR2A
VIRAL PROTEIN INTERACTION WITH CYTOKINE AND CYTOKINE RECEPTOR	2/99	0.04239236725397136	0.10801342889368044	0	0	6.390786082474227	20.199913253204997	CCL2;TNF
C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY	2/104	0.04631997758914525	0.11336205041553969	0	0	6.075980392156863	18.666517165049545	AKT1;TNF
NF-KAPPA B SIGNALING PATHWAY	2/104	0.04631997758914525	0.11336205041553969	0	0	6.075980392156863	18.666517165049545	TNFRSF11A;TNF
SYSTEMIC LUPUS ERYTHEMATOSUS	2/104	0.04631997758914525	0.11336205041553969	0	0	6.075980392156863	18.666517165049545	TNF;GRIN2B
INSULIN RESISTANCE	2/107	0.04873859177209251	0.1177321827221975	0	0	5.901488095238095	17.830072289264994	AKT1;TNF
TOLL-LIKE RECEPTOR SIGNALING PATHWAY	2/109	0.05037616454097374	0.11860717221039387	0	0	5.790595794392523	17.303673424471118	AKT1;TNF
TOXOPLASMOSIS	2/109	0.05037616454097374	0.11860717221039387	0	0	5.790595794392523	17.303673424471118	AKT1;TNF
NITROGEN METABOLISM	1/17	0.054664164526580065	0.12709418252429866	0	0	19.151923076923076	55.66596287289847	GRID2
FATTY ACID BIOSYNTHESIS	1/18	0.05778641961430449	0.1315270047151624	0	0	18.02443438914027	51.387689221977354	FASN
GROWTH HORMONE SYNTHESIS, SECRETION AND ACTION	2/118	0.05798502358410386	0.1315270047151624	0	0	5.338900862068965	15.202896681851763	AKT1;GHRL
T CELL RECEPTOR SIGNALING PATHWAY	2/119	0.05885387981568632	0.131889417418285	0	0	5.293002136752137	14.99347402745322	AKT1;TNF
SPHINGOLIPID SIGNALING PATHWAY	2/123	0.06237434702177601	0.13811462554821832	0	0	5.116993801652892	14.197617109474594	AKT1;TNF
PROXIMAL TUBULE BICARBONATE RECLAMATION	1/21	0.06709237742938731	0.14681390825724755	0	0	15.318461538461538	41.38565533533388	GRID2
PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES	4/469	0.06917916161321569	0.14832274568518067	0	0	2.7012140131807145	7.215092801753832	FASN;TNF;GRIN2B;SLC6A4
NATURAL KILLER CELL MEDIATED CYTOTOXICITY	2/131	0.06962363089243005	0.14832274568518067	0	0	4.797722868217054	12.784258213722426	FASN;TNF
ARGININE BIOSYNTHESIS	1/22	0.07017420225965537	0.14832274568518067	0	0	14.588278388278388	38.75776638076853	GRID2
INSULIN SIGNALING PATHWAY	2/137	0.07523361480001642	0.15722980171688827	0	0	4.583101851851852	11.857204691208892	FASN;AKT1
SPINOCEREBELLAR ATAXIA	2/143	0.08098333082119621	0.16736555036380552	0	0	4.3867464539007095	11.026139580063532	AKT1;GRIN2B
GASTRIC CANCER	2/146	0.08390824894159064	0.1715047725619325	0	0	4.294704861111111	10.642413291746209	ABCB1;AKT1
ALCOHOLISM	2/153	0.0908565577015772	0.18368825796188434	0	0	4.094163907284768	9.819742838365377	DRD2;GRIN2B
MTOR SIGNALING PATHWAY	2/154	0.0918628045722684	0.1837256091445368	0	0	4.067023026315789	9.709851010487263	AKT1;TNF
HUMAN PAPILLOMAVIRUS INFECTION	3/328	0.09424229975109726	0.18496333558234462	0	0	2.873113553113553	6.785967126419574	FASN;AKT1;TNF
ASTHMA	1/30	0.09447052086195021	0.18496333558234462	0	0	10.559681697612731	24.915225160225248	TNF
MICRORNAS IN CANCER	2/160	0.09796869502759123	0.189814346615958	0	0	3.911392405063291	9.086584209615122	ABCB1;CYP1B1
AUTOPHAGY - ANIMAL	2/167	0.10523380540128412	0.19972946739427394	0	0	3.744128787878788	8.430170624069861	AKT1;EIF2AK4
JAK-STAT SIGNALING PATHWAY	2/167	0.10523380540128412	0.19972946739427394	0	0	3.744128787878788	8.430170624069861	LEP;AKT1
TYROSINE METABOLISM	1/36	0.11228141034639683	0.2088434232442981	0	0	8.746813186813187	19.127067203604	COMT
ALANINE, ASPARTATE AND GLUTAMATE METABOLISM	1/36	0.11228141034639683	0.2088434232442981	0	0	8.746813186813187	19.127067203604	GRID2
TUBERCULOSIS	2/179	0.11801425120020419	0.21733317547760375	0	0	3.4881709039548023	7.454046425760574	AKT1;TNF
NICOTINE ADDICTION	1/40	0.12396319624600918	0.2249079938885311	0	0	7.848126232741618	16.38508691479256	GRIN2B
NOD-LIKE RECEPTOR SIGNALING PATHWAY	2/185	0.12454582457268121	0.2249079938885311	0	0	3.372780054644809	7.025775944313709	CCL2;TNF
CHEMOKINE SIGNALING PATHWAY	2/191	0.1311636189730838	0.23458108777878448	0	0	3.2647156084656084	6.631648598585537	AKT1;CCL2
KAPOSI SARCOMA-ASSOCIATED HERPESVIRUS INFECTION	2/195	0.13562052627439575	0.24024207511464388	0	0	3.196405440414508	6.386080980951477	FASN;AKT1
ABC TRANSPORTERS	1/45	0.13835271420668946	0.24276985700419093	0	0	6.954545454545454	13.755735911077744	ABCB1
CARBOHYDRATE DIGESTION AND ABSORPTION	1/47	0.14404311872744627	0.24807426003060193	0	0	6.651505016722408	12.88823939882601	AKT1
TYPE II DIABETES MELLITUS	1/47	0.14404311872744627	0.24807426003060193	0	0	6.651505016722408	12.88823939882601	TNF
VIBRIO CHOLERAE INFECTION	1/49	0.1496965090156283	0.25544541905419144	0	0	6.373717948717949	12.104616534894065	TJP1
AUTOIMMUNE THYROID DISEASE	1/52	0.1581077109680406	0.26734576581868685	0	0	5.99788838612368	11.062977752427079	FASN
HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION	2/219	0.16302217882945516	0.2731722996601681	0	0	2.8394297235023043	5.150353612748111	AKT1;TNF
LEGIONELLOSIS	1/56	0.1691952972512301	0.2809850472207928	0	0	5.560559440559441	9.879455000733476	TNF
ENDOMETRIAL CANCER	1/58	0.17468503580396127	0.28447816896626205	0	0	5.364912280701755	9.360541873693466	AKT1
