Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ENDOCRINE AND OTHER FACTOR-REGULATED CALCIUM REABSORPTION	1/50	0.29825367779529566	0.33271767802864516	0	0	2.8877551020408165	3.4936375609484274	ESR1
MALARIA	1/50	0.29825367779529566	0.33271767802864516	0	0	2.8877551020408165	3.4936375609484274	CXCL8
HIPPO SIGNALING PATHWAY	2/155	0.2985547021596325	0.33271767802864516	0	0	1.853199793106691	2.24015181297365	SMAD4;BIRC5
AUTOIMMUNE THYROID DISEASE	1/52	0.30813827732517374	0.3416978916873214	0	0	2.7742296918767506	3.265841626377558	FASN
HEDGEHOG SIGNALING PATHWAY	1/56	0.3274946217748376	0.36137337575154493	0	0	2.571948051948052	2.8710235490166927	BCL2
PYRIMIDINE METABOLISM	1/57	0.3322490894713865	0.3648225296156401	0	0	2.525892857142857	2.783206375546968	RRM1
MINERAL ABSORPTION	1/58	0.33697018074455287	0.3682015633501456	0	0	2.481453634085213	2.6992280819452583	ATP7A
LONG-TERM DEPRESSION	1/59	0.34165812824816816	0.3715117511048042	0	0	2.4385467980295568	2.618864328688878	HRAS
ARACHIDONIC ACID METABOLISM	1/63	0.36008307736939826	0.3896551175398319	0	0	2.2807603686635947	2.3296154045447897	AKR1C3
GLYCOLYSIS / GLUCONEOGENESIS	1/65	0.3691026207254696	0.39559323943782393	0	0	2.209263392857143	2.2019298947093753	ACSS2
LONG-TERM POTENTIATION	1/65	0.3691026207254696	0.39559323943782393	0	0	2.209263392857143	2.2019298947093753	HRAS
NOD-LIKE RECEPTOR SIGNALING PATHWAY	2/185	0.3755512784653319	0.40058803036302065	0	0	1.5470377796123758	1.5151073168233276	CXCL8;BCL2
AMPHETAMINE ADDICTION	1/67	0.37799592351267	0.4012847718807492	0	0	2.1420995670995673	2.083988406812137	FOS
VIRAL MYOCARDITIS	1/68	0.3823957839391759	0.4040408283130915	0	0	2.1100213219616206	2.0283616465858976	CASP3
VIRAL LIFE CYCLE - HIV-1	1/70	0.39110300798340925	0.4113008159074351	0	0	2.048654244306418	1.9232444533133406	TRIM5
PEROXISOME	1/83	0.44480322047152404	0.4655884176898195	0	0	1.7227351916376306	1.3956279112457395	SOD2
GABAERGIC SYNAPSE	1/86	0.456511847532617	0.4756216458014242	0	0	1.6616806722689075	1.3029913230800254	SRC
MORPHINE ADDICTION	1/89	0.46797526348631685	0.4853076806524767	0	0	1.604788961038961	1.2185801933261362	OPRM1
THERMOGENESIS	2/229	0.48154967301437945	0.49708353343419814	0	0	1.2443824675942066	0.9093273737860644	HRAS;FGFR1
CIRCADIAN ENTRAINMENT	1/95	0.49018675459939876	0.5036781331663547	0	0	1.5018996960486322	1.0708076670479612	FOS
HEMATOPOIETIC CELL LINEAGE	1/97	0.49738401121036085	0.5087398105530632	0	0	1.4704613095238095	1.0269597277990514	IL2RA
GLUCAGON SIGNALING PATHWAY	1/104	0.5217890174374662	0.5312760904817837	0	0	1.3700416088765603	0.8912010431605009	AKT1
TGF-BETA SIGNALING PATHWAY	1/109	0.5384972044993919	0.545807121302551	0	0	1.3062830687830689	0.8085539155424988	SMAD4
PURINE METABOLISM	1/124	0.5852223654855377	0.5904946390484704	0	0	1.1461091753774681	0.6140433394408727	RRM1
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	2/366	0.7327202280089908	0.7360059689417666	0	0	0.7706142778085224	0.2396543597165932	EDNRB;OPRM1
NEUROACTIVE LIGAND SIGNALING	1/195	0.7500198360264444	0.7500198360264444	0	0	0.7240427098674521	0.20827495806438137	OPRM1
